/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.31503716111183167
Epoch 1, Loss: 0.28546959161758423
Epoch 1, Loss: 0.38777101039886475
Epoch 1, Loss: 0.3501577079296112
Epoch 1, Loss: 0.31452253460884094
Epoch 1, Loss: 0.2919614017009735
Epoch 1, Loss: 0.33670681715011597
Epoch 1, Loss: 0.31002846360206604
Epoch 1, Loss: 0.3127939701080322
Epoch 1, Loss: 0.2703254818916321
Epoch 1, Loss: 0.29954662919044495
Epoch 1, Loss: 0.3167533874511719
Epoch 1, Loss: 0.29327619075775146
Epoch 1, Loss: 0.27997082471847534
Epoch 1, Loss: 0.3037146329879761
Epoch 1, Loss: 0.3015724718570709
Epoch 1, Loss: 0.2105318307876587
Epoch 1, Loss: 0.2722894847393036
Epoch 1, Loss: 0.29092109203338623
Epoch 1, Loss: 0.31826499104499817
Epoch 1, Loss: 0.3189004957675934
Epoch 1, Loss: 0.27319493889808655
Epoch 1, Loss: 0.27881625294685364
Epoch 1, Loss: 0.24804288148880005
Epoch 1, Loss: 0.2705681324005127
Epoch 1, Loss: 0.2222568243741989
Epoch 1, Loss: 0.2837453782558441
Epoch 1, Loss: 0.3309072256088257
Epoch 1, Loss: 0.2597311735153198
Epoch 1, Loss: 0.29139092564582825
Epoch 1, Loss: 0.2600223124027252
Epoch 1, Loss: 0.28488239645957947
Epoch 1, Loss: 0.21420305967330933
Epoch 1, Loss: 0.1807354837656021
Epoch 1, Loss: 0.3081628382205963
Epoch 1, Loss: 0.24547016620635986
Epoch 1, Loss: 0.31232017278671265
Epoch 1, Loss: 0.25610533356666565
Epoch 1, Loss: 0.26773470640182495
Epoch 1, Loss: 0.23283076286315918
Epoch 1, Loss: 0.2311238944530487
Epoch 1, Loss: 0.17903003096580505
Epoch 1, Loss: 0.25826796889305115
Epoch 1, Loss: 0.25206708908081055
Epoch 1, Loss: 0.18181267380714417
Epoch 1, Loss: 0.21483784914016724
Epoch 1, Loss: 0.26479876041412354
Epoch 1, Loss: 0.23390328884124756
Epoch 1, Loss: 0.28475987911224365
Epoch 1, Loss: 0.2982300817966461
Epoch 1, Loss: 0.21568962931632996
