/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.33123278617858887
Epoch 1, Loss: 0.39439499378204346
Epoch 1, Loss: 0.35462310910224915
Epoch 1, Loss: 0.37148675322532654
Epoch 1, Loss: 0.3706780970096588
Epoch 1, Loss: 0.3373298943042755
Epoch 1, Loss: 0.3110658526420593
Epoch 1, Loss: 0.3402840197086334
Epoch 1, Loss: 0.3197113871574402
Epoch 1, Loss: 0.3272760808467865
Epoch 1, Loss: 0.39280110597610474
Epoch 1, Loss: 0.3794907033443451
Epoch 1, Loss: 0.328801691532135
Epoch 1, Loss: 0.3390456438064575
Epoch 1, Loss: 0.31522315740585327
Epoch 1, Loss: 0.2856830954551697
Epoch 1, Loss: 0.36395877599716187
Epoch 1, Loss: 0.3463114798069
Epoch 1, Loss: 0.2664445638656616
Epoch 1, Loss: 0.33869218826293945
Epoch 1, Loss: 0.3310287594795227
Epoch 1, Loss: 0.3405117988586426
Epoch 1, Loss: 0.3619254231452942
Epoch 1, Loss: 0.299701064825058
Epoch 1, Loss: 0.2687506079673767
Epoch 1, Loss: 0.38255006074905396
Epoch 1, Loss: 0.3583603501319885
Epoch 1, Loss: 0.2655252516269684
Epoch 1, Loss: 0.3327106833457947
Epoch 1, Loss: 0.28063616156578064
Epoch 1, Loss: 0.28603559732437134
Epoch 1, Loss: 0.3018738329410553
Epoch 1, Loss: 0.3037910759449005
Epoch 1, Loss: 0.288799524307251
Epoch 1, Loss: 0.30073457956314087
Epoch 1, Loss: 0.2614632248878479
Epoch 1, Loss: 0.35528022050857544
Epoch 1, Loss: 0.3401936888694763
Epoch 1, Loss: 0.31152427196502686
Epoch 1, Loss: 0.3023739755153656
Epoch 1, Loss: 0.2833437919616699
Epoch 1, Loss: 0.26154640316963196
Epoch 1, Loss: 0.2833351492881775
Epoch 1, Loss: 0.3083462417125702
Epoch 1, Loss: 0.29295021295547485
Epoch 1, Loss: 0.2729184031486511
Epoch 1, Loss: 0.31130656599998474
Epoch 1, Loss: 0.31681498885154724
Epoch 1, Loss: 0.27709266543388367
Epoch 1, Loss: 0.2852376103401184
Epoch 1, Loss: 0.30335140228271484
Epoch 1, Loss: 0.2763986885547638
Epoch 1, Loss: 0.28910815715789795
Epoch 1, Loss: 0.2643105685710907
Epoch 1, Loss: 0.2804240584373474
Epoch 1, Loss: 0.269644558429718
Epoch 1, Loss: 0.27534323930740356
Epoch 1, Loss: 0.2738327383995056
Epoch 1, Loss: 0.2927948832511902
Epoch 1, Loss: 0.2761509120464325
Epoch 1, Loss: 0.315035343170166
Epoch 1, Loss: 0.2351800948381424
Epoch 1, Loss: 0.21941867470741272
Epoch 1, Loss: 0.26184847950935364
Epoch 1, Loss: 0.26652735471725464
Epoch 1, Loss: 0.29784613847732544
Epoch 1, Loss: 0.2612566351890564
Epoch 1, Loss: 0.24023222923278809
Epoch 1, Loss: 0.30321091413497925
Epoch 1, Loss: 0.2453254908323288
Epoch 1, Loss: 0.2843886911869049
Epoch 1, Loss: 0.20432963967323303
Epoch 1, Loss: 0.2423480749130249
Epoch 1, Loss: 0.19413170218467712
Epoch 1, Loss: 0.26253587007522583
Epoch 1, Loss: 0.2760571241378784
Epoch 1, Loss: 0.2752663493156433
Epoch 1, Loss: 0.20885273814201355
Epoch 1, Loss: 0.19919481873512268
Epoch 1, Loss: 0.23713433742523193
Epoch 1, Loss: 0.2815970480442047
Epoch 1, Loss: 0.25447553396224976
Epoch 1, Loss: 0.181771382689476
Epoch 1, Loss: 0.2185034304857254
Epoch 1, Loss: 0.19401748478412628
Epoch 1, Loss: 0.2660987377166748
Epoch 1, Loss: 0.25894784927368164
Epoch 1, Loss: 0.23549659550189972
Epoch 1, Loss: 0.20807616412639618
Epoch 1, Loss: 0.2142104208469391
Epoch 1, Loss: 0.20261719822883606
Epoch 1, Loss: 0.19307371973991394
Epoch 1, Loss: 0.2479037046432495
Epoch 1, Loss: 0.22645282745361328
Epoch 1, Loss: 0.21291927993297577
Epoch 1, Loss: 0.2248634397983551
Epoch 1, Loss: 0.21867629885673523
Epoch 1, Loss: 0.2339905947446823
Epoch 1, Loss: 0.2164228856563568
Epoch 1, Loss: 0.21461856365203857
Epoch 1, Loss: 0.2418050765991211
Epoch 1, Loss: 0.2436211109161377
Epoch 1, Loss: 0.26273640990257263
Epoch 1, Loss: 0.19313135743141174
Epoch 1, Loss: 0.25356948375701904
Epoch 1, Loss: 0.24824635684490204
Epoch 1, Loss: 0.22362037003040314
Epoch 1, Loss: 0.242241770029068
Epoch 1, Loss: 0.2563784718513489
Epoch 1, Loss: 0.25330850481987
Epoch 1, Loss: 0.2163703739643097
Epoch 1, Loss: 0.16495096683502197
Epoch 1, Loss: 0.23136648535728455
Epoch 1, Loss: 0.20912525057792664
Epoch 1, Loss: 0.1822885274887085
Epoch 1, Loss: 0.20838522911071777
Epoch 1, Loss: 0.1783188283443451
Epoch 1, Loss: 0.18144093453884125
Epoch 1, Loss: 0.1878865659236908
Epoch 1, Loss: 0.20240163803100586
Epoch 1, Loss: 0.19685669243335724
Epoch 1, Loss: 0.28397589921951294
Epoch 1, Loss: 0.20616641640663147
Epoch 1, Loss: 0.19917741417884827
Epoch 1, Loss: 0.18965066969394684
Epoch 1, Loss: 0.2696115970611572
Epoch 1, Loss: 0.25143641233444214
Epoch 1, Loss: 0.2498599737882614
Epoch 1, Loss: 0.26339977979660034
Epoch 1, Loss: 0.16353675723075867
Epoch 1, Loss: 0.15304401516914368
Epoch 1, Loss: 0.2348991334438324
Epoch 1, Loss: 0.24056370556354523
Epoch 1, Loss: 0.12069924920797348
Epoch 1, Loss: 0.27259236574172974
Epoch 1, Loss: 0.16147983074188232
Epoch 1, Loss: 0.185003861784935
Epoch 1, Loss: 0.1666121780872345
Epoch 1, Loss: 0.2078360766172409
Epoch 1, Loss: 0.18085548281669617
Epoch 1, Loss: 0.20767636597156525
Epoch 1, Loss: 0.2868501842021942
Epoch 1, Loss: 0.1738273650407791
Epoch 1, Loss: 0.24466076493263245
Epoch 1, Loss: 0.24916180968284607
Epoch 1, Loss: 0.1442234069108963
Epoch 1, Loss: 0.1769426167011261
Epoch 1, Loss: 0.19401343166828156
Epoch 1, Loss: 0.186794251203537
Epoch 1, Loss: 0.1913113296031952
Epoch 1, Loss: 0.1798587590456009
Epoch 1, Loss: 0.2506867051124573
Epoch 1, Loss: 0.1752842217683792
Epoch 1, Loss: 0.13163450360298157
Epoch 1, Loss: 0.18660640716552734
Epoch 1, Loss: 0.1869020015001297
Epoch 1, Loss: 0.2169266939163208
Epoch 1, Loss: 0.21364304423332214
Epoch 1, Loss: 0.17538081109523773
Epoch 1, Loss: 0.2120969295501709
Epoch 1, Loss: 0.24917736649513245
Epoch 1, Loss: 0.15544076263904572
Epoch 1, Loss: 0.19668030738830566
Epoch 1, Loss: 0.1459009349346161
Epoch 1, F1 Score: 0.564847820126131
Epoch 2, Loss: 0.20137958228588104
Epoch 2, Loss: 0.239018514752388
Epoch 2, Loss: 0.2258341759443283
Epoch 2, Loss: 0.15175814926624298
Epoch 2, Loss: 0.21598663926124573
Epoch 2, Loss: 0.20679382979869843
Epoch 2, Loss: 0.20016732811927795
Epoch 2, Loss: 0.23553237318992615
Epoch 2, Loss: 0.18628628551959991
Epoch 2, Loss: 0.1407770812511444
Epoch 2, Loss: 0.24070140719413757
Epoch 2, Loss: 0.20488806068897247
Epoch 2, Loss: 0.1973417103290558
Epoch 2, Loss: 0.2511857748031616
Epoch 2, Loss: 0.1964702308177948
Epoch 2, Loss: 0.13709867000579834
Epoch 2, Loss: 0.20002081990242004
Epoch 2, Loss: 0.13103510439395905
Epoch 2, Loss: 0.19615693390369415
Epoch 2, Loss: 0.23443107306957245
Epoch 2, Loss: 0.21971341967582703
Epoch 2, Loss: 0.17883525788784027
Epoch 2, Loss: 0.19523885846138
Epoch 2, Loss: 0.23482069373130798
Epoch 2, Loss: 0.12671247124671936
Epoch 2, Loss: 0.23234567046165466
Epoch 2, Loss: 0.1500416249036789
Epoch 2, Loss: 0.15027815103530884
Epoch 2, Loss: 0.1786411702632904
Epoch 2, Loss: 0.18417079746723175
Epoch 2, Loss: 0.16739393770694733
Epoch 2, Loss: 0.17316894233226776
Epoch 2, Loss: 0.15694549679756165
Epoch 2, Loss: 0.24322383105754852
Epoch 2, Loss: 0.17770519852638245
Epoch 2, Loss: 0.12969961762428284
Epoch 2, Loss: 0.13402152061462402
Epoch 2, Loss: 0.16392460465431213
Epoch 2, Loss: 0.1728205680847168
Epoch 2, Loss: 0.15025360882282257
Epoch 2, Loss: 0.2111157923936844
Epoch 2, Loss: 0.23755474388599396
Epoch 2, Loss: 0.24848148226737976
Epoch 2, Loss: 0.14944303035736084
Epoch 2, Loss: 0.18670466542243958
Epoch 2, Loss: 0.19379663467407227
Epoch 2, Loss: 0.1130746603012085
Epoch 2, Loss: 0.17892085015773773
Epoch 2, Loss: 0.11829759180545807
Epoch 2, Loss: 0.20436719059944153
Epoch 2, Loss: 0.20244042575359344
Epoch 2, Loss: 0.14034926891326904
Epoch 2, Loss: 0.17621228098869324
Epoch 2, Loss: 0.2268970012664795
Epoch 2, Loss: 0.2055392563343048
Epoch 2, Loss: 0.1537378430366516
Epoch 2, Loss: 0.26698774099349976
Epoch 2, Loss: 0.14598669111728668
Epoch 2, Loss: 0.15725481510162354
Epoch 2, Loss: 0.18140816688537598
Epoch 2, Loss: 0.18474438786506653
Epoch 2, Loss: 0.22457841038703918
Epoch 2, Loss: 0.21713590621948242
Epoch 2, Loss: 0.24297523498535156
Epoch 2, Loss: 0.20098204910755157
Epoch 2, Loss: 0.17218026518821716
Epoch 2, Loss: 0.21592625975608826
Epoch 2, Loss: 0.21540918946266174
Epoch 2, Loss: 0.14478842914104462
Epoch 2, Loss: 0.11250798404216766
Epoch 2, Loss: 0.18466973304748535
Epoch 2, Loss: 0.16287145018577576
Epoch 2, Loss: 0.1127086877822876
Epoch 2, Loss: 0.1826951801776886
Epoch 2, Loss: 0.23690588772296906
Epoch 2, Loss: 0.20483656227588654
Epoch 2, Loss: 0.1305674910545349
Epoch 2, Loss: 0.14383777976036072
Epoch 2, Loss: 0.14491106569766998
Epoch 2, Loss: 0.11923011392354965
Epoch 2, Loss: 0.23023751378059387
Epoch 2, Loss: 0.15062269568443298
Epoch 2, Loss: 0.17297731339931488
Epoch 2, Loss: 0.18494081497192383
Epoch 2, Loss: 0.1689443588256836
Epoch 2, Loss: 0.2592892050743103
Epoch 2, Loss: 0.1858254224061966
Epoch 2, Loss: 0.15814027190208435
Epoch 2, Loss: 0.205863356590271
Epoch 2, Loss: 0.19402088224887848
Epoch 2, Loss: 0.3116046190261841
Epoch 2, Loss: 0.18206627666950226
Epoch 2, Loss: 0.10881964862346649
Epoch 2, Loss: 0.11555960029363632
Epoch 2, Loss: 0.10494278371334076
Epoch 2, Loss: 0.10546933114528656
Epoch 2, Loss: 0.11391904205083847
Epoch 2, Loss: 0.15143820643424988
Epoch 2, Loss: 0.14459839463233948
Epoch 2, Loss: 0.2143717110157013
Epoch 2, Loss: 0.15856416523456573
Epoch 2, Loss: 0.09901703894138336
Epoch 2, Loss: 0.2459496706724167
Epoch 2, Loss: 0.15422436594963074
Epoch 2, Loss: 0.1545911282300949
Epoch 2, Loss: 0.12305965274572372
Epoch 2, Loss: 0.19448736310005188
Epoch 2, Loss: 0.18277469277381897
Epoch 2, Loss: 0.12281014770269394
Epoch 2, Loss: 0.13790155947208405
Epoch 2, Loss: 0.30487313866615295
Epoch 2, Loss: 0.14783629775047302
Epoch 2, Loss: 0.13346314430236816
Epoch 2, Loss: 0.19828662276268005
Epoch 2, Loss: 0.09058244526386261
Epoch 2, Loss: 0.11340910196304321
Epoch 2, Loss: 0.1136588454246521
Epoch 2, Loss: 0.29088979959487915
Epoch 2, Loss: 0.1520291566848755
Epoch 2, Loss: 0.10082980245351791
Epoch 2, Loss: 0.10163533687591553
Epoch 2, Loss: 0.2373512238264084
Epoch 2, Loss: 0.16395917534828186
Epoch 2, Loss: 0.09125680476427078
Epoch 2, Loss: 0.13269886374473572
Epoch 2, Loss: 0.15267442166805267
Epoch 2, Loss: 0.20767641067504883
Epoch 2, Loss: 0.12500476837158203
Epoch 2, Loss: 0.18082298338413239
Epoch 2, Loss: 0.1193741112947464
Epoch 2, Loss: 0.18922801315784454
Epoch 2, Loss: 0.18278884887695312
Epoch 2, Loss: 0.23098143935203552
Epoch 2, Loss: 0.11150012165307999
Epoch 2, Loss: 0.1076897606253624
Epoch 2, Loss: 0.1370398849248886
Epoch 2, Loss: 0.18605966866016388
Epoch 2, Loss: 0.21495921909809113
Epoch 2, Loss: 0.1367480456829071
Epoch 2, Loss: 0.2055310308933258
Epoch 2, Loss: 0.09539587795734406
Epoch 2, Loss: 0.23987314105033875
Epoch 2, Loss: 0.23046556115150452
Epoch 2, Loss: 0.1888197362422943
Epoch 2, Loss: 0.16764914989471436
Epoch 2, Loss: 0.12785953283309937
Epoch 2, Loss: 0.10781519114971161
Epoch 2, Loss: 0.1706816852092743
Epoch 2, Loss: 0.1797698438167572
Epoch 2, Loss: 0.18424288928508759
Epoch 2, Loss: 0.19987662136554718
Epoch 2, Loss: 0.21952036023139954
Epoch 2, Loss: 0.26593926548957825
Epoch 2, Loss: 0.1559504270553589
Epoch 2, Loss: 0.19723443686962128
Epoch 2, Loss: 0.310673326253891
Epoch 2, Loss: 0.13023298978805542
Epoch 2, Loss: 0.1291387677192688
Epoch 2, Loss: 0.1513383686542511
Epoch 2, Loss: 0.1662132740020752
Epoch 2, Loss: 0.1904502809047699
Epoch 2, Loss: 0.11103066056966782
Epoch 2, Loss: 0.18734249472618103
Epoch 2, Loss: 0.14028044044971466
Epoch 2, Loss: 0.14378920197486877
Epoch 2, Loss: 0.18868179619312286
Epoch 2, Loss: 0.10972627252340317
Epoch 2, Loss: 0.1968962699174881
Epoch 2, Loss: 0.23710212111473083
Epoch 2, Loss: 0.13229653239250183
Epoch 2, Loss: 0.14015434682369232
Epoch 2, Loss: 0.15249940752983093
Epoch 2, Loss: 0.23368152976036072
Epoch 2, Loss: 0.1367211639881134
Epoch 2, Loss: 0.20064108073711395
Epoch 2, Loss: 0.17748548090457916
Epoch 2, Loss: 0.21817228198051453
Epoch 2, Loss: 0.1400984227657318
Epoch 2, Loss: 0.1280701458454132
Epoch 2, Loss: 0.10705453157424927
Epoch 2, Loss: 0.13795873522758484
Epoch 2, Loss: 0.14629614353179932
Epoch 2, Loss: 0.12583166360855103
Epoch 2, Loss: 0.1989031732082367
Epoch 2, Loss: 0.14450523257255554
Epoch 2, Loss: 0.14906492829322815
Epoch 2, Loss: 0.09230078011751175
Epoch 2, Loss: 0.11469680070877075
Epoch 2, Loss: 0.22674210369586945
Epoch 2, Loss: 0.28259438276290894
Epoch 2, Loss: 0.12205890566110611
Epoch 2, Loss: 0.1218385323882103
Epoch 2, Loss: 0.09662246704101562
Epoch 2, Loss: 0.19901303946971893
Epoch 2, Loss: 0.1970759928226471
Epoch 2, Loss: 0.18156637251377106
Epoch 2, Loss: 0.11304134130477905
Epoch 2, Loss: 0.13112597167491913
Epoch 2, Loss: 0.1523788869380951
Epoch 2, Loss: 0.08828824758529663
Epoch 2, Loss: 0.18610727787017822
Epoch 2, Loss: 0.1489299237728119
Epoch 2, Loss: 0.1070072278380394
Epoch 2, Loss: 0.11937155574560165
Epoch 2, Loss: 0.14869853854179382
Epoch 2, Loss: 0.15330073237419128
Epoch 2, Loss: 0.1278945803642273
Epoch 2, Loss: 0.08786517381668091
Epoch 2, Loss: 0.11957673728466034
Epoch 2, Loss: 0.23235774040222168
Epoch 2, Loss: 0.15151648223400116
Epoch 2, Loss: 0.08399610966444016
Epoch 2, Loss: 0.15563581883907318
Epoch 2, Loss: 0.10362275689840317
Epoch 2, Loss: 0.1277414709329605
Epoch 2, Loss: 0.2077304869890213
Epoch 2, Loss: 0.11714650690555573
Epoch 2, Loss: 0.12882563471794128
Epoch 2, Loss: 0.13727541267871857
Epoch 2, Loss: 0.1807706654071808
Epoch 2, Loss: 0.0773211121559143
Epoch 2, Loss: 0.2818295657634735
Epoch 2, Loss: 0.09659881889820099
Epoch 2, Loss: 0.1959061324596405
Epoch 2, Loss: 0.15059001743793488
Epoch 2, Loss: 0.1256057471036911
Epoch 2, Loss: 0.08122558891773224
Epoch 2, Loss: 0.1700589507818222
Epoch 2, Loss: 0.1525329053401947
Epoch 2, Loss: 0.087806835770607
Epoch 2, Loss: 0.08881593495607376
Epoch 2, Loss: 0.11917457729578018
Epoch 2, Loss: 0.1021537035703659
Epoch 2, Loss: 0.17950785160064697
Epoch 2, Loss: 0.1354985386133194
Epoch 2, Loss: 0.1357872188091278
Epoch 2, Loss: 0.169233500957489
